Comment,Author
힘내세요ㅜㅜ,@user-cr1mf6mt3d
정말 아니시면 그냥 법으로 하세요,@planj1085
아 징하다 전문가가 많이 배출되야 교육도 저렴하고 경쟁도 생겨요 아 18 왜 못잡아먹어서 난리야잘된게 배아프면 너도 열심히 살어 왜 열심히 하시는분을 욕보여,@user-mt9hr8fj6e
아니 는 해명하는것도 웃긴게 그랬다한들 사장이  보고 직원의 잘못된 행동 지적하는게 문제임  봤는데 업무시간에 의자에 누워서 일한다거나 정해준 유니폼 제대로 안입고 있음 전화해서 지랄해야지ㅡㅡ,@user-jn1sg1gt4j
이 사건은 왜 물질주의와 자본주의가 옳은지 잘 보여줌 사람은 뒤통수쳐도 돈은 뒤통수치지 않거든,@vs-dr4vp
일단 중립이지만  가 업무공간을 비추는 건 어디든 그렇지 않나 강아지들이 있기 때문에 어디서든 사고가 터질 수 있고,@Mokpo.angler
허위 유포자들 반드시 처벌받게 하셨으면 좋겠네요,@user-june1954
항상 말은 양쪽다 들어봐야지,@amateurclubleague2969
녹취가 있다본인과 강형욱의 대화녹취라면강형욱이 불리해 질테지만반대로 본인이 아닌 제3자와의 대화내용이라면 엄연히 불법불법으로 취득한 증거라서법정에서 사용못함불법으로 수집한 타인과의 대화라서 대중에게 공개도 못함,@user-zg6yu8qh2s
직원분 녹취록 있으면 꼭 공개하세요 있는데 폭로자가 욕 먹으면 안되잖아요,@user-vm9rs1qt8q
우리회사 10명 좀넘는 스타트업인데 3년간 내가 본것1 출근해서 하루종일 넷플 쿠플보다가 일시키면 화내는 디자이너2 10시출근 5시퇴근 하나 못해서 입사 2달만에 연차15개생리휴가 월1회씩 다쓰고도 지멋대로 쉬다 잘린 경리3 출근할때 5분 10분 늦을거같으면 회사 톡방에 길막혀서 좀 늦을거같다 라고 쓰라니까실제론 이유없음 걍 늦잠이런저런 핑계대고 선배말 안듣고 매번 말없이 지각하고 퇴사2주전 무단결근하는 신입지방에 있는 회사임에도 근로조건 복지 나쁜편 절대 아니고 대표님도 드래곤볼 프리저급으로 좋은분인데 저런 폐급 쓰레기들때문에 다수의 책임감있는 사람들이 누리는 복지나 혜택이 줄어들어서 화가날뿐,@lienne04
전 직원들이 고소준비한다고 기사떴던데 이제 곧 진실이 밝혀지겠네요녹음파일까지 가지고 있다고하니 누가 거짓말하는지 드러나겠죠전 직원들이 거짓말했다면 강씨  부부가 명예훼손이나 무고죄로 고소할만도 한데 안하는 것도 좀 이해 안갔는데오히려 전 직원들이 변호사 선임해서 법적대응한다는 기사가 떴네요거기다 녹취파일까지 가지고 있다하니 곧 법원에서 그 녹취파일 재생하면 진실이 드러나겠죠,@toktoki793
참 더럽다 인간들 솔직히 저중에서 진짜 문제가 해결 안 되서 서운해서 야랄한 년들보단 그냥 이 기회에 ㅈ되바라 생각으로 한 물어 뜯은 것들이 대부분이겠지 결국 이러다보면 대다수 묵묵히 일하는 사람들이 의심받고 피해보는게 너무 그지같다,@user-kw8rq2zv5i
우리 집에도 4개나 있는데 1층이라 프레임 쒸워서 한 사람 바보 만들고 억측으로 자기들에게만 유리한 해석으로 불합리하다 말하고 이건 뭐 이기적인 어리석은 행동입니다 개념없는 들에게서 나타나는 생각없는 말과 행동들 법적 조치를 제대로 행하셨으면 합니다,@johnkim3750
강형욱대표님 사업을 하시면 사람 관리가 제일 힘들죠 이 고난의 시간이 잘 끝나면 더 좋은 기회가 올 거라 믿어요 진심은 밝혀집니다 건강과 마음 잘 챙기시고 포기하지 마세요 대표님이 대한민국의 애견문화를 많이 바꾸셨어요 그 노고에 박수를 드립니다,@11veritecello
힘네시요  옳게 사시는  분인걸  알기에,@JimmyYoo-db7nd
